id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
94,Coenonympha tullia,Nymphalidae,Satyrinae,"Extremely variable geographically, with at least 4 subspecies. Wings range from dark orange-brown to pale cream. Underside of forewing usually has a small eyespot near its tip. Underside of hindwing is gray-green with a wavy white median line.",1 1/3 - 1 1/2 inches (3.4 - 3.8 cm).,Grasses and rushes.,Flower nectar.,"Grassy, open areas in a wide variety of habitats, including fields, meadows, grasslands, and tundra.","One to two broods from March-October, depending on locality.","Holarctic. In North America from Alaska south through the western mountains to Baja California Norte, southeast Arizona, and central New Mexico; across southern Canada to Quebec and New England; south to Long Island. Isolated populations in Newfoundland and New Brunswick. The range is still expanding in the East."
95,Colias alexandra,Pieridae,Coliadinae,"Upper surface of male bright yellow with pale yellow at wing bases; wings edged by narrow black border crossed by yellow veins; cell spot small. Female yellow, sometimes white, with forewing border faded or absent. Underside of hindwing of both sexes green-gray; cell spot white with no surrounding ring.",1 5/8 - 2 1/4 inches (4.2 - 5.7 cm).,"Various plants in the pea family (Fabaceae) including milk vetch (Astragalus), Lupines (Lupinus), and clover (Trifolium) species.","Nectar from flowers including blanket flower, milk vetches, and others.","Road edges, fields, meadows, sagebrush flats.",One flight from May-August.,"British Columbia south and east to eastern California, Arizona and New Mexico."
96,Colias behrii,Pieridae,Coliadinae,Upper surface of male dull green with dark border; pale hindwing cell spot. Female greenish-yellow with dark diffuse border. Underside of both sexes green.,1 3/8 - 1 5/8 inches (3.5 - 4.2 cm).,Low blueberries (Vaccinium species) in the heath family (Ericaceae) and gentian (Gentiana newberryi).,Flower nectar.,"Subalpine and alpine meadows, usually above 9000 feet.",One flight from July-August.,Isolated range in California\'s Sierra Nevada from Tuolumne County south to Tulare County.
97,Colias eurytheme,Pieridae,Coliadinae,"Quite variable. Upperside of male yellow with orange overlay, yellow veins, wide black border, and dark black cell spot. Female yellow or white with irregular black border surrounding light spots. Underside hindwing spot silver with 2 concentric dark rings, and a spot above it.",1 3/8 - 2 3/4 inches (3.5 - 7 cm).,"Plants in the pea family (Fabaceae) including alfalfa (Medicago sativa), white clover (Trifolium repens), and white sweet clover (Melilotus alba).","Nectar from many kinds of flowers including dandelion, milkweeds, goldenrods, and asters.","A wide variety of open sites, especially clover and alfalfa fields, mowed fields, vacant lots, meadows, road edges.","Two-three flights in the north from June-October, 4-5 in the south from March-November.","Southern Canada to central Mexico, coast to coast in the United States except for the Florida peninsula. Comments: One of the most widespread and common butterflies in North America."
98,Colias gigantea,Pieridae,Coliadinae,"Upper surface of male yellow with narrow black borders; lower surface without submarginal black spots. Female with 2 forms, yellow or white; both may have black border reduced or lacking.",2 - 2 3/4 inches (5.1 - 7 cm).,Dwarf willow (Salix reticulata).,Flower nectar.,Willow bogs.,One flight from June-July.,Alaska south along Rocky Mountains to Wyoming.
99,Colias harfordii,Pieridae,Coliadinae,"Upper surface of male a rich yellow, wing bases not darkened. Cell spot in front wing is medium-sized and black, often with a white center. Forewing border wide, hindwing border narrower. Cell spot in hindwing not noticeable. Female resembles male but border less well-defined, in some cases reduced or lacking.",1 3/4 - 2 inches (4.4 - 5.1 cm).,Rattleweed (Astragalus douglasii) in the pea family (Fabaceae).,Flower nectar from thistles and mints.,Open chaparral and woodland clearings.,Two flights from February-May and from June-August.,Southern California coastal ranges and canyons from Kern County south to San Diego County.
100,Colias interior,Pieridae,Coliadinae,Both sexes with conspicuous pink wing edges. Male yellow; female yellow or white (very rarely). Upperside of male with black border; border on female may be incomplete or only seen at tip of wing. Underside of hindwing clear yellow with single silver cell spot circled in pink.,1 1/2 - 2 5/8 inches (3.9 - 6.6 cm).,Various blueberry plants (Vaccinium species) in the heath family (Ericaceae).,Nectar from flowers of bristly sarsaparilla and orange hawkweed.,"Shrubby openings in woods, bogs, or scrub areas where Ericaceae grows; often in burned or logged sites.",One flight from June-August.,"From British Columbia and eastern Oregon east through the Great Lakes area to northern New England. Isolated population in central Appalachians of northeast Pennsylvania, western Maryland, eastern West Virginia, and northwest Virginia."
101,Colias meadii,Pieridae,Coliadinae,"Upperside of male deep reddish orange with wide, dull black border; female lighter orange, border containing orange spots. Underside of both sexes greenish-yellow, with hindwing white spot circled in red.",1 1/2 - 2 inches (3.8 - 5.1 cm).,Plants in the pea family (Fabaceae) including clover (Trifolium) and Astragalus species.,Flower nectar including alpine sunflower and asters.,"At or near treeline in high mountains, tundra, subalpine meadows.",One flight from July-August.,Restricted to the Rocky Mountains from Alberta south to Colorado.
102,Colias nastes,Pieridae,Coliadinae,Upperside of both sexes dirty white or dirty green-yellow; black border contains white or greenish spots. Underside of hindwing has submarginal rows of black spots.,1 1/4 - 1 3/4 inches (3.1 - 4.5 cm).,Plants of the pea family (Fabaceae) including milk vetch (Astragalus alpinus) and white clover (Trifolium repens).,Flower nectar.,Arctic and alpine tundra.,One flight from late June-early August.,Alaska south in Rocky Mountains to north-central Washington and northwest Montana.
103,Colias occidentalis,Pieridae,Coliadinae,"Upperside of male bright yellow with wide black border; orange morph is orange with yellow at costa and wing bases. Female pale yellow to greenish white with border blurry, incomplete, or absent; orange morph dull orange with wide black borders and dark veins. Underside of both sexes with pink wing fringes and golden yellow hindwing; orange morph green-gray to orange; both with dark overscales.",1 3/4 - 2 1/2 inches (4.5 - 6.3 cm).,"Plants of the pea family (Fabaceae) including vetch (Vicia angustifolia), sweet vetch (Hedysarum), lupines (Lupinus), and white sweet clover (Melilotus alba).",Flower nectar.,"Open areas including meadows, sagebrush flats, conifer forest openings, power-line cuts.","May-August, mainly June-July.",Extreme southern British Columbia and northwestern United States south to north coastal California and central Utah.
104,Colias pelidne,Pieridae,Coliadinae,Upperside of male pale yellow with wide black border and small black cell spot. Female white (most common) or yellow; dark border may be incomplete. Underside of hindwing of both sexes with dense black scales.,1 1/4 - 1 3/4 inches (3.2 - 4.4 cm).,Blueberry (Vaccinium species) and wintergreen (Gaultheria humifusa) in the heath family (Ericaceae).,Flower nectar.,"Arctic tundra, subarctic forest openings and meadows.",One flight from late June-July.,Northern Rocky Mountains from Alberta south to Wyoming.
105,Colias philodice,Pieridae,Coliadinae,"Upper surface of male wings bright, clear yellow with solid black edging; lower side of forewing with some dark submarginal spots; hindwing with silver cell spot rimmed with orange-pink, usually doubled. Female has 2 forms: yellow form with uneven black edging enclosing yellow spots, and a white form which is greenish-white rather than yellow. Spring and fall forms are smaller and less conspicuously marked.",1 1/2 - 2 3/4 inches (3.8 - 7 cm).,"Plants in the pea family (Fabaceae) including alfalfa (Medicago sativa), white clover (Trifolium repens), and pea (Pisum sativum).",Flower nectar of many plants.,"Many different open areas including fields, lawns, alfalfa and clover fields, road edges, meadows.","Three flights in the north from May-October, 4-5 in the south from March-November.","Alaska south through central and southeast Canada, all of conterminous United states except much of California, south Texas, and most of Florida."
106,Colias scudderii,Pieridae,Coliadinae,"Upper surface of male lemon yellow; dark wide border cut by yellow veins. Females often white, with small black cell spot; border incomplete or lacking. Underside of both sexes dirty green.",1 1/2 - 2 inches (3.8 - 5.1 cm).,Willow shrubs in the willow family (Salicaceae).,Flower nectar., Mountain meadows and willow bogs.,One flight from late June-August.,Alaska south through Rocky Mountains to northern New Mexico.
107,Colorado hairstreak,Lycaenidae,Theclinae,Hindwing has slender tail. Upperside dark purple with wide dark border and orange spots at lower outer edge of each wing.,1 1/4 - 1 1/2 inches (3.2 - 3.8 cm).,"Leaves of oaks, particularly Gambel oak (Quercus gambelii) in the beech family (Fagaceae).","Tree sap, raindrops, probably honeydew from aphids and other insects.",Oak scrub and oak woodlands.,One flight from June-August.,"Utah, Colorado, Arizona, and New Mexico; north into southern Wyoming, west into eastern Nevada. Comments: The official State Butterfly of Colorado."
108,Copaeodes aurantiaca,Hesperiidae,Hesperiinae,Both upper- and lowerside are orange. Upperside of male forewing has a narrow black stigma below the cell; female may have narrow black edging on the forewing.,3/4 - 1 1/8 inches (1.9 - 2.9 cm).,"Various grasses (Poaceae) including Bermuda grass (Cynodon dactylon), sideoats grama (Bouteloua curtipendula), and green spangletop (Leptochloa dubia).",Nectar from a variety of flowers,"Grasslands, grassy streamsides, fields, washes.",Many broods from February-November in Texas; March-December in southern California; April-October in the north.,"Southern California, southern Arizona, southern New Mexico, and west Texas south through Central America to Panama. Strays to eastern Texas, central Arkansas, central Kansas, and Colorado."
109,Cyanophrys longula,Lycaenidae,Theclinae,"Under surfaces mostly green with dark borders. Short, stubby tail.",Not reported.,Not reported.,Presumably flower nectar.,Not reported.,"Two flights, in spring and late summer, in Sonora, Mexico.",East and West Mexico.
110,Cyllopsis gemma,Nymphalidae,Satyrinae,Wings are brown and lack eyespots. Underside of hindwing has a silvery patch at the outer margin which contains 4 black reflective spots.,1 3/8 - 1 11/16 inches (3.5 - 4.3 cm).,Probably Bermuda grass (Cynodon dactylon).,Not reported.,"Near open, wet woodland; grassy areas near water; near streams and ponds.",Several broods all through the year in South Texas; three broods from April-September elsewhere.,"Southeastern United States south to central peninsular Florida; west to southeast Kansas, central Oklahoma, central Texas, and northeastern Mexico."
111,Danaus eresimus,Nymphalidae,Danainae,"Upperside is brownish orange, darker at the wing bases; both wings with thin black veins. Black borders of forewings have 2 rows of white spots; white spots are scattered at the forewing apex. Underside of hindwing has black veins; black borders of both wings have 2 rows of white spots. Upperside of male hindwing has a black scale patch. Very similar to the Queen (Danaus gilippus), but upperside of the forewing usually lacks larger white spots below the apex. Upperside is more orange and the wing veins are more defined than the Queen. Underside of hindwing has a band of blotchy pale spots, which are lacking in the Queen.",2 3/4 - 3 3/4 inches (7 - 9.5 cm).,Milkweeds and milkweed vines.,Flower nectar.,"Open pastures and fields, edges of seasonally dry tropical forests.","From August-December in South Texas; all year in southern Florida, most common from October-December.",Southern Florida and South Texas south through the West Indies and Central America to Brazil. A rare stray to southern Arizona and southern New Mexico.
112,Danaus gilippus,Nymphalidae,Danainae,"Upperside is chestnut brown; black borders of forewings have 2 rows of white spots; white spots are scattered at the forewing apex. Underside of hindwing has black veins; black borders of both wings have 2 rows of white spots. Upperside of male hindwing has a black scale patch. Very similar to the Soldier (Danaus eresimus), but is more brown and has less defined wing veins on the upperside. Underside hindwing lacks band of pale spots present in the Soldier. Queens in the southwest (and sometimes in the southeast) have pale veins on the upperside of the hindwings, which are lacking in the Soldier.",2 5/8 - 3 7/8 inches (6.7 - 9.8 cm).,"Milkweeds and milkweed vines. Some of the milkweeds contain cardiac glycosides which are stored in the bodies of both the caterpillar and adult. These poisons are distasteful and emetic to birds and other vertebrate predators. After tasting a Queen, a predator might associate the bright warning colors of the adult or caterpillar with an unpleasant meal, and avoid Queens in the future.","Nectar from flowers including milkweeds, fogfruit, and shepherd's needle.","Open, sunny areas including fields, deserts, roadsides, pastures, dunes, washes, and waterways.","All year in Florida and South Texas, July-August in the north.",Resident in extreme southern United States south through tropical lowlands of the West Indies and Central America to Argentina. Regular stray and sometime colonist in the plains; rarely along Atlantic coastal plain to Massachusetts and the Great Plains. Comments: The Florida Viceroy (Limenitis archippus floridensis) is also inedible and mimics the Queen.
113,Danaus plexippus,Nymphalidae,Danainae,Upperside of male is bright orange with wide black borders and black veins; hindwing has a patch of scent scales. Upperside of female is orange-brown with wide black borders and blurred black veins. Both sexes have white spots on borders and apex. The Viceroy butterfly (Limenitis archippus) is a Mullerian mimic; it has similar coloration and is also distasteful.,3 3/8 - 4 7/8 inches (8.6 - 12.4 cm).,"Milkweeds including common milkweed (Asclepias syriaca), swamp milkweed (A. incarnata), and showy milkweed (A. speciosa); and milkweed vine in the tropics. Most milkweeds contain cardiac glycosides which are stored in the bodies of both the caterpillar and adult. These poisons are distasteful and emetic to birds and other vertebrate predators. After tasting a Monarch, a predator might associate the bright warning colors of the adult or caterpillar with an unpleasant meal, and avoid Monarchs in the future.","Nectar from all milkweeds. Early in the season before milkweeds bloom, Monarchs visit a variety of flowers including dogbane, lilac, red clover, lantana, and thistles. In the fall adults visit composites including goldenrods, blazing stars, ironweed, and tickseed sunflower.","Many open habitats including fields, meadows, weedy areas, marshes, and roadsides.","In North America during spring and summer there may be 1-3 broods in the north and 4-6 broods in the south. May breed all year in Florida, South Texas, and southeastern California.","Southern Canada south through all of the United States, Central America, and most of South America. Also present in Australia, Hawaii, and other Pacific Islands."
114,Decinea percosius,Hesperiidae,Hesperiinae,Wings are dark brown. Upperside of forewing has an angled transparent spot in the cell; hindwing has one small transparent spot in the middle of the wing. Underside of the hindwing is yellow-brown.,7/8 - 1 3/8 inches (2.2 - 3.5 cm).,Various grasses.,Flower nectar.,"Tropical forests and scrub, resacas, and flower gardens.",March-November in South Texas and Mexico.,"Belize north to Mexico. Occasional colonist to the lower Rio Grande Valley, Texas."
115,Diana fritillary,Nymphalidae,Heliconiinae,"Large. Upperside of male wings black at base, orange at outer portions; female black with blue on outer part of hindwing. Underside without typical Speyeria spot pattern.",3 7/16 - 4 7/16 inches (8.7 - 11.3 cm).,Violets (Viola species).,"Dung and flower nectar from plants including common and swamp milkweeds, ironweed, red clover, and butterflybush.","Fields, edges, and openings in moist, rich, forested mountains and valleys.",One flight from mid-June to early September.,Ozark Mountains of Missouri and Arkansas; southern Appalachians from central Virginia and West Virginia through the mountains to northern Georgia and Alabama.
116,Doxocopa laure,Nymphalidae,Apaturinae,Upperside of male is dark brown with some blue iridescence; median band is white on hindwing and mostly orange on forewing. Female upperside is dark brown without iridescence; median band is white on both wings and ends with a yellow spot at the leading edge of the forewing. Underside of hindwing of both sexes is grayish with a silvery iridescence.,2 3/4 - 3 1/4 inches (7 - 8.2 cm).,Tree and shrub Celtis in the elm family (Ulmaceae).,"Rotting fruit, dung, sap, carrion.",Subtropical wooded areas and edges.,July-December in South Texas; all year in the tropics.,In lowland tropics from Brazil north to northern Mexico. Strays occasionally to the lower Rio Grande Valley of Texas.
117,Doxocopa pavon,Nymphalidae,Apaturinae,Upperside of male is iridescent blue-purple; female is paler. Both sexes have a small orange patch near the tip of the forewing and a white median band across both wings. Underside of both is paler and does not have silvery iridescence.,2 3/16 - 2 11/16 inches (5.6 - 6.9 cm).,Tree and shrub Celtis in the elm family (Ulmaceae).,"Flower nectar, rotting fruit, and bird droppings.",Tropical and subtropical forests.,In South Texas,"Bolivia north to northern Mexico. Strays occasionally to the lower Rio Grande Valley, Texas."
118,Dryas iulia,Nymphalidae,Heliconiinae,"Forewings elongate. Male bright orange above and below; upperside of hindwing with narrow black border on outer margin. Female duller orange, with more black markings above.",3 1/4 - 3 5/8 inches (8.2 - 9.2 cm).,Passion-vines including Passiflora lutea in Texas.,Nectar from flowers including lantana and shepherd\'s needle; probably others.,"Subtropical hammock openings and edges, and nearby fields.","Throughout the year in southern Florida and South Texas, strays to the north in summer.","Resident in Brazil north through Central America, Mexico, West Indies, peninsular Florida, and South Texas. Strays north to eastern Nebraska."
119,Eastern tailed-blue,Lycaenidae,Polyommatinae,"One narrow tail on hindwing. Upperside of male iridescent blue; summer females uniformly brown, spring females smaller with much blue at the wing bases. Underside of hindwing pale gray with black bar at end of cell, distinct black spots, and three large orange spots at outer margin near tail.",7/8 - 1 1/8 inches (2.2 - 2.9 cm).,"Many plants in the pea family including yellow sweet clover (Melilotus officinalis), alfalfa (Medicago sativa); various species of vetch (Vicia), clover (Trifolium), wild pea (Lathyrus), and bush clover (Lespedeza); and others.","This butterfly has a low flight and a short proboscis, thus is found at flowers close to the ground which are open or short-tubed. These include white sweet clover, shepherd's needle, wild strawberry, winter cress, cinquefoils, asters, and others.","Many open, sunny places including weedy areas and disturbed habitats.","Three broods from April-November in the north, many broods from February-November in the south.","Southeast Canada and Eastern United States west to western North Dakota, central Colorado, and central Texas. Also ranges from southeastern Arizona, western New Mexico, and west Texas south to Costa Rica."
120,Edith's checkerspot,Nymphalidae,Nymphalinae,Variable. Front wing rounded at tip. Upperside is black with red and pale yellow or white bands. Submarginal band of small yellow or white spots; wide postmedian band is red. Underside of hindwing with alternating bands of yellow-orange and cream.,1 1/4 - 2 inches (3.2 - 5.1 cm).,"Various species of paintbrush (Castilleja), beardtongues (Penstemon), lousewort (Pedicularis), owl's clover (Orthocarpus), Chinese houses (Collinsia), and plantain (Plantago).",Flower nectar.,"From sea level to treeline through diverse habitats including coastal chaparral, meadows, fields, foothills, open woods, alpine fellfields.","One brood; from March-May at low elevations, June-August at high elevations and in the north.","Southern British Columbia and Alberta south to Baja California, Nevada, Utah, and Colorado."
121,Electrostrymon joya,Lycaenidae,Theclinae,Two tails on the hindwing. Upperside of male orange-brown; underside tan with red postmedian line. Female not distinguishable in field from that of Ruddy Hairstreak.,15/16 - 1 3/16 inches (2.4 - 3.0 cm).,"In Venezuela, flowers of mango (Mangifera indica) and Psiguria racemosa.",Flower nectar.,"Openings and edges in tropical semideciduous river forests, second growth.",April to January in tropical America (3 more flights).,South Texas south through mainland tropical America to Peru.
122,Enodia anthedon,Nymphalidae,Satyrinae,Antennal clubs are black. Upperside is brown with dark eyespots. Underside is brown; submarginal row of 4 black spots on forewing is straight and the dark line inside it is sinuous. Spots are not surrounded by diffuse white.,1 3/4 - 2 5/8 inches (4.5 - 6.7 cm).,"Various grasses including white grass (Leersia virginica), bearded shorthusk (Brachyelytrum erectum), plumegrass (Erianthus), broadleaf uniola (Uniola latifolia), and bottlebrush (Hystrix patula).","Dung, fungi, carrion, and sap from willows, poplars, and birch.","Damp deciduous woods, usually near marshes or waterways; mixed or grassy woodlands.","One brood in the north from June-August, two broods in the south from May-September.","Central Saskatchewan and eastern Nebraska east to Nova Scotia, south to central Alabama and Mississippi."
123,Epargyreus clarus,Hesperiidae,Pyrginae,Wings are brown-black; hindwing is lobed. Forewing has transparent gold spots; underside of hindwing has a metallic silver band.,1 3/4 - 2 5/8 inches (4.5 - 6.7 cm).,"Many woody legumes including black locust (Robinia pseudacacia), honey locust (Gleditsia triacanthos) and false indigo (Amorpha species). Also selected herbaceous legumes such s Glycyrrhiza species.","The Silver-spotted Skipper almost never visits yellow flowers but favors blue, red, pink, purple, and sometimes white and cream-colored ones. These include everlasting pea, common milkweed, red clover, buttonbush, blazing star, and thistles.","Disturbed and open woods, foothill streamcourses, prairie waterways.","Two broods from May-September in most of the East, a single brood to the north and west, three-four broods from February-December in the Deep South.",Extreme southern Canada and most of the continental United States except the Great Basin and west Texas; northern Mexico.
124,Ephyriades brunnea,Hesperiidae,Pyrginae,Male upperside is black with a silky sheen and a circle of white transparent spots near the apex. Female upperside is brown with dark mottling and outer margins; forewing has more and larger transparent spots than the male.,1 5/8 - 1 7/8 inches (4.2 - 4.8 cm).,Key byrsonima (Byrsonima lucida) and Barbados cherry (Malpighia glabra).,"Nectar from flowers of low plants and flowering shrubs including Bidens alba, Croton granduosus, and Lantana involucrata.",Tropical pine-Sabal palm scrub.,Many flights throughout the year in southern Florida.,Tropical southern Florida and the Keys; the West Indies. A rare stray to Honduras.
125,Erebia callias,Nymphalidae,Satyrinae,"Upperside is dull gray-brown with a slight luster. Forewing above and below has 2 eyespots near the tip, usually in a red patch. Underside of hindwing is silver-gray with tiny dark markings.",1 3/8 - 1 1/2 inches (3.5 - 3.8 cm).,Probably grasses or sedges.,Flower nectar.,Alpine grassy meadows.,One brood from mid-July to mid-August.,Alpine Wyoming and Colorado.
126,Erebia discoidalis,Nymphalidae,Satyrinae,Wings are brownish black and lack eyespots. Forewing has a large chestnut red patch both above and below. Underside of hindwing is mottled gray and brown.,1 1/2 - 1 15/16 inches (3.8 - 4.9 cm).,Bluegrasses (Poa species).,Flower nectar.,"Large, open, grassy bogs; other areas with acidic soils.",One brood from early May to mid-June.,"Holarctic. North America from Alaska south and east to southern Alberta, northern Montana, northern Wisconsin, northern Michigan, and southern Quebec."
127,Erebia epipsodea,Nymphalidae,Satyrinae,Wings are dark brown. Upperside of both wings with white-centered submarginal eyespots in a yellow-orange patch. Underside of forewing is similar to the upperside; hindwing is gray with submarginal black eyespots.,1 5/8 - 2 inches (4.2 - 5.1 cm).,Probably grasses.,Flower nectar.,"Moist open grassy fields, meadows, high prairies, open forests.",One brood from mid-June to early August.,Alaska south through the Rocky Mountains to northern New Mexico; west across the prairie provinces to southwest Manitoba.
128,Erebia mancinus,Nymphalidae,Satyrinae,Upperside is brown-black; forewing has 4 submarginal black spots surrounded by yellow-orange. Underside is gray-brown; forewing is reddish with 4-5 black submarginal spots; hindwing with conspicuous white spot beyond the end of the cell.,1 5/8 - 1 3/4 inches (4.1 - 4.5 cm).,Probably sedges or grasses.,Not reported.,Black spruce-sphagnum bogs.,One brood every other year from late May-early July in most of its range; every year in some locations.,Holarctic. Subarctic Alaska and Canada east and south across Canada to east-central Ontario and northern Minnesota. Isolated records from northern Quebec and Labrador.
129,Erebia pawlowskii,Nymphalidae,Satyrinae,Wings are dark brown with no eyespots. Upperside has a submarginal row of orange dashes across both wings. Underside of forewing repeats the upperside pattern; hindwing has a row of yellow-cream spots.,1 1/4 - 1 13/16 inches (3.2 - 4.6 cm).,Probably grasses or sedges.,Flower nectar.,"Grassy areas in and above wet tundra, bogs.",One brood every other year in July.,Holarctic. Several isolated populations in North America from Alaska south in the mountains to Colorado; along the western edge of Hudson Bay to northern Manitoba.
130,Erebia vidleri,Nymphalidae,Satyrinae,"Upperside is brown-black; orange band across both wings surrounds 3 eyespots on the forewing, 1-2 eyespots on the hindwing. Underside of forewing is the same as the upperside; hindwing median band is indistinct to well-defined ash gray.",1 5/8 - 1 7/8 inches (4.1 - 4.8 cm).,Probably grasses.,Flower nectar.,"High mountain meadows, ridges, and rockslides.",One brood from July-August.,High mountains of British Columbia south to the Olympic and north Cascade Mountains of Washington.
131,Erynnis afranius,Hesperiidae,Pyrginae,Hindwing fringes are pale-tipped. Upperside is dark brown; forewing has abundant pale overscaling and several clear spots. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.,1 1/4 - 1 3/8 inches (3.2 - 3.5 cm).,"Various legumes including deerweed (Lotus scoparius), lupine (Lupinus species), and milkvetch (Astragalus species).",Flower nectar.,"Open woodlands, edges and openings in forests, prairie.",Several flights from March-August in southern California; two flights from May-August in the rest of the range.,"Montana and North Dakota south through the mountains to southern California, Arizona, New Mexico, and Mexico."
132,Erynnis brizo,Hesperiidae,Pyrginae,Antennal clubs are blunt. Upperside brown; forewing with 2 wide gray bands and no transparent spots. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.,1 1/4 - 1 3/4 inches (3.2 - 4.5 cm).,Scrub oak (Quercus ilicifolia) and other shrubby oaks.,Nectar from flowers of heaths (Ericaceae) including wild azalea and blueberry; also blackberry and dandelion.,"Oak or oak-pine scrub, chaparral, barrens; on well-drained sandy or shaly soils.","One brood; from January-May in Florida and Texas, from March-June in the rest of the range.","In the west from California east to Utah and southern Wyoming; south through the mountains to Arizona, New Mexico, Baja California Norte and central Mexico. In the east from Manitoba south through southern Ontario and the eastern United States to central Florida, the Gulf Coast, and central Texas."
133,Erynnis funeralis,Hesperiidae,Pyrginae,"Forewing is narrow and pointed, hindwing is somewhat triangular. Upperside of wing is black; forewing has a dull brown patch at the end of the cell. Hindwing has white fringe on the outer margin. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.",1 5/16 - 1 3/4 inches (3.4 - 4.5 cm).,"Various legumes including New Mexican locust (Robinia neomexicana), bur clover (Medicago hispida), deerweed (Lotus scoparius), desert ironwood (Olneya tesota), and vetch (Vicia species).",Flower nectar.,"Deserts, warm or arid lowlands, roadsides.",Three broods from March-December.,"Southern California, Arizona, New Mexico, and Texas south to Argentina. Strays north to northern Illinois, northeast Nebraska, central Colorado, southern Nevada, and central California."
134,Erynnis horatius,Hesperiidae,Pyrginae,Fringes are brown. Upperside of male forewing is dark brown with little contrast and no white overscaling. Upperside of female forewing is light brown with a contrasting pattern and large transparent spots. Underside of hindwing is usually without 2 spots below the apex. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.,1 7/16 - 1 15/16 inches (3.6 - 4.9 cm).,"Both red and white oaks including willow oak (Quercus phellos), northern red oak (Q. velutina), scrub oak (Q. ilicifolia), water oak (Q. nigra), post oak (Q. stellata), and live oak (Q. virginiana).","Horace\'s Duskywing visits flower up to about 4.5 feet tall including dogbane, buttonbush, sneezeweed, goldenrod, peppermint, boneset, and winter cress.","Open woodlands and edges, clearings, fencerows, wooded swamps, power-line right-of-ways, open fields, roadsides.","Two broods in the north from April-September, three broods in the Deep South and Texas from January-November.","Massachusetts west to eastern South Dakota; south through most of the eastern United States to Florida, the Gulf Coast, and South Texas; south in the west through southeastern Utah, Colorado, northeastern Arizona, and New Mexico."
135,Erynnis icelus,Hesperiidae,Pyrginae,Long labial palpi point forward; antennal clubs are pointed. Wings are black; forewing has no transparent spots but is dusted with gray scales and has bands of dark spots. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.,1 1/8 - 1 1/2 inches (2.9 - 3.8 cm).,"Willows (Salix), poplars, aspens (Populus), and occasionally birch (Betula).","Nectar from flowers of blueberry, wild strawberry, blackberry, Labrador tea, dogbane, New Jersey tea, winter cress, purple vetch, and lupine.",Woodland openings or edges.,One brood from April to early July; perhaps a rare second brood in the southern Appalachian Mountains.,"Boreal North America from the Northwest Territories east across southern Canada to Nova Scotia; south in the western mountains to southern Arizona and southern New Mexico; south in the east to Arkansas, northeastern Alabama, and northern Georgia."
136,Erynnis lucilius,Hesperiidae,Pyrginae,Upperside is dark brown; brown patch at end of forewing cell is indistinct. Underside of hindwing has marginal and submarginal rows of well-defined pale spots. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.,1 3/16 - 1 5/8 inches (3 - 4.2 cm).,Wild columbine (Aquilegia canadensis) and sometimes garden columbine (A. vulgaris) in the buttercup family (Ranunculaceae).,Flower nectar.,"Rocky deciduous or mixed woodland and edges, especially in ravines or gullies.",Two broods from April-September.,"Southern Quebec and southern New England west to Minnesota; south to New Jersey and Pennsylvania; south along the Appalachians to Virginia and Kentucky. Comments: The Columbine, Wild Indigo, and Persius dusky wings belong to the ""Persius complex,"" a confusing group of very similar butterflies."
137,Erynnis martialis,Hesperiidae,Pyrginae,Upperside bands contribute to the mottled appearance of both wings. Freshly-emerged butterflies have a purplish iridescence. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.,1 1/8 - 1 5/8 inches (2.9 - 4.2 cm).,Wild lilacs including New Jersey tea (Ceanothus americanus) and redroot (Ceanothus herbaceus var. pubescens) in the buckthorn family (Rhamnaceae).,"Nectar from flowers of bush houstonia, gromwell, hoary vervain, and other plants.","Open woodland, barrens, prairie hills, open brushy fields, chaparral.",Two broods from April-September.,"Massachusetts and southern Ontario west across the Great Lake states to Minnesota; south to South Carolina, the Gulf Coast, and central Texas. Isolated populations in eastern Wyoming, eastern Colorado, and western South Dakota."
138,Erynnis pacuvius,Hesperiidae,Pyrginae,"Upperside brown to black; forewing with uneven dark bands and small submarginal spots. Hindwing fringes are white with brown scales at their bases in subspecies pacuvius (Utah, Colorado, Arizona, New Mexico) and brown in other subspecies. Male has a costal fold containing yellow scent scales; female has a patch of scent scales on the 7th abdominal segment.",1 1/4 - 1 3/8 inches (3.2 - 3.5 cm).,"Various wild lilacs including deer brier (Ceanothus fendleri), mountain whitethorn (Ceanothus cordulatus), hairy ceanothus (Ceanothus oliganthus), and others.",Nectar from flowers including Ceanothus.,"Open coniferous forest, chaparral, cutover land.","Two broods in southern California, Arizona, and New Mexico; one brood in the north.","British Columbia south through the mountains of western North America to southern California, Arizona, New Mexico, Baja California Norte, and south to Veracruz, Mexico."
