id,latin_name,plant_common_name,plant_family,plant_habitats,plant_range,plant_physical_characteristics,plant_cultivation,plant_propagation,image_file,img_attr
27,Asclepias tuberosa,"Pleurisy Root, Butterfly milkweed, Rolfs' milkweed, Indian Paintbrush",Asclepiadaceae,"Dry open sandy and gravelly soils and grassy places by the sides of roads[43, 187, 268].","N. America - S. Ontario and New York to Minnesota, south to Florida and Colorado.","Asclepias tuberosa is a PERENNIAL growing to 0.8 m (2ft 7in) by 0.5 m (1ft 8in) at a medium rate.  It is hardy to zone (UK) 3.  It is in flower from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, insects, Lepidoptera (Moths & Butterflies).  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil.","Experimental Crop  Industrial Crop: Hydrocarbon  Management: HayLandscape Uses:Border, Container, Foundation, Massing, Rock garden, Seashore, Specimen. Prefers a well-drained light, rich or peaty soil[1, 200]. Prefers a sandy soil and a sunny position[111, 233]. Prefers a slightly acid soil[238]. Prefers a dry soil[187, 238]. Plants are hardy to about -20°c[187]. Another report says that this species is only suited to the warmer areas of Britain[233]. A very ornamental plant[1], but it is not easy to establish or to keep in British gardens[233]. Resents root disturbance[4, 134], plants should be pot-grown from seed and planted out in their permanent positions when young. Plants are particularly at risk from slugs, however, and some protection will probably be required until the plants are established and also in the spring when the new shoots come into growth[K]. The flower can trap insects between its anther cells, the struggles of the insect in escaping ensure the pollination of the plant[207]. Special Features:
Attractive foliage, North American native, Naturalizing, Attracts butterflies, Suitable for cut flowers, Suitable for dried flowers, Attractive flowers or blooms.","Seed - best sown in a greenhouse as soon as it is ripe in the autumn or in late winter[134, 169]. We have also had good results from sowing the seed in the greenhouse in early spring[K], though stored seed might need 2 - 3 weeks cold stratification[134]. Germination usually takes place in 1 - 3 months at 18°c[134]. As soon as the seedlings are large enough to handle, prick them out into individual pots and grow them on in the greenhouse for their first winter. Plant out when they are in active growth in late spring or early summer and give them some protection from slugs until they are growing away strongly. Division in spring. With great care since the plant resents root disturbance. Pot the divisions up and place them in a lightly shaded position in the greenhouse until they are growing away strongly, then plant them out in the summer, giving them some protection from slugs until they are established.. Basal cuttings in late spring. Use shoots about 10cm long with as much of their white underground stem as possible. Pot them up individually and place them in a lightly shaded position in a greenhouse until they are rooting and growing actively. If the plants grow sufficiently, they can be put into their permanent positions in the summer, otherwise keep them in the greenhouse until the following spring and when they are in active growth plant them out into their permanent positions. Give them some protection from slugs until they are established.",Asclepias_tuberosa.jpg,https://commons.wikimedia.org/w/index.php?curid=84315648
28,Mentha,Water Mint,Lamiaceae or Labiatae,"Swamps, fen, marshes, near rivers, streams and ponds, in wet woods[9].","Europe, including Britain, south and east to N. Africa and southwest Asia Also in S. Africa, Madeira","Mentha is a PERENNIAL growing to 1 m (3ft 3in) by 1 m (3ft 3in).  It is hardy to zone (UK) 6 and is not frost tender.  It is in flower from July to October, and the seeds ripen from September to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist or  wet soil and can grow in water.","Succeeds in most soils and situations so long as the soil is not too dry[1, 16, 200]. Grows well in heavy clay soils. A sunny position is best for production of essential oils, but it also succeeds in partial shade. Plants can grow in water up to 15cm deep[24]. Most mints have fairly aggressive spreading roots and, unless you have the space to let them roam, they need to be restrained by some means such as planting them in containers that are buried in the soil[K]. Hybridizes freely with other members of this genus. The whole plant, especially when bruised, has a pungent aroma of bergamot[245]. The flowers are especially attractive to bees and butterflies[24]. A good companion for brassicas[14]. Members of this genus are rarely if ever troubled by browsing deer[233].","Seed - sow spring in a cold frame. Germination is usually fairly quick. Prick out the seedlings into individual pots when they are large enough to handle and plant them out in the summer. Mentha species are very prone to hybridisation and so the seed cannot be relied on to breed true. Even without hybridisation, seedlings will not be uniform and so the content of medicinal oils etc will vary. When growing plants with a particular aroma it is best to propagate them by division[K]. Division can be easily carried out at almost any time of the year, though it is probably best done in the spring or autumn to allow the plant to establish more quickly. Virtually any part of the root is capable of growing into a new plant. Larger divisions can be planted out direct into their permanent positions. However, for maximum increase it is possible to divide the roots up into sections no more than 3cm long and pot these up in light shade in a cold frame. They will quickly become established and can be planted out in the summer.",Mentha.jpg,https://commons.wikimedia.org/w/index.php?curid=22929685
29,Vernonia noveboracensis,New York ironweed,Compositae,"Moist meadows, pastures & roadsides. Flourishes on slopes in the Edwards Plateau. Well-drained caliche and limestone.","Native to the eastern United States, from Florida to Massachusetts and west to Tennessee, Alabama, and West Virginia.","Vernonia noveboracensis is a PERENNIAL growing to 2 m (6ft) by 1 m (3ft 3in) at a medium rate.  It is hardy to zone (UK) 5. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid and neutral soils. It cannot grow in the shade. It prefers dry or  moist soil.","A very tall perennial herbaceous wildflower reaching 2m/7ft. Prefers average, medium to wet soils in full sun. Tolerating a wide range of soils, but preferring rich, moist, slightly acidic soils. Soil pH: Acidic (pH<6.8). CaCO3 Tolerance: Medium. Drought Tolerance: Medium.Juglone tolerant. For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a clumper with limited spread [1-2].","Seed - sow seeds in fall or provide cold stratification. Germination is usually low so sow Softwood cuttings taken in late spring or by division of clumps. Seed Collection: 3-4 weeks after the blooming period. Store dry in sealed, refrigerated containers.",Vernonia_noveboracensis.jpg,https://commons.wikimedia.org/w/index.php?curid=1443257
30,Physocarpus opulifolius,"Ninebark, Common ninebark, Atlantic ninebark, Ninebark",Rosaceae,Banks of streams[222].,"Central and Eastern N. America - Quebec to South Carolina, west to Alabama, Arkansas and Minnesota.","Physocarpus opulifolius is a deciduous Shrub growing to 3 m (9ft) by 4 m (13ft) at a medium rate.  It is hardy to zone (UK) 2.  It is in flower from June to July. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid and neutral soils and  can grow in very acid soils. It cannot grow in the shade. It prefers  moist soil.","Landscape Uses:Border, Foundation, Massing, Specimen. Prefers an acid soil, quickly becoming chlorotic when growing on shallow chalk[200]. Succeeds in a moist moderately fertile soil in full sun[200]. A very hardy plant, tolerating temperatures down to at least -25°c[200]. There are many named varieties, selected for their ornamental value[200]. Flowers are produced on the previous year's growth[11]. A useful plant for rough shrubberies where plants are more or less left to look after themselves[11].  Special Features:Attractive foliage, North American native, Blooms are very showy.","Seed - we do not have any information for this species but suggest sowing the seed as soon as it is ripe if possible in a cold frame. If sown in the spring it is likely to require a period of cold stratification. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the cold frame for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Division of suckers in the dormant season. Cuttings of greenwood, June in a closed frame[200].",Physocarpus_opulifolius.jpg,https://commons.wikimedia.org/w/index.php?curid=80376851
31,Lindera benzoin,"Spice Bush, Northern spicebush, Bush Northern Spice",Lauraceae,"Wet woods and by streams[184] on sandy or peaty soils[149]. Stream banks, low woods, margins of wetlands; uplands, especially with exposed limestone, from sea level to 1200 metres[270].","Eastern N. America - Maine and Ontario to Kentucky, Missouri and Kansas.","Lindera benzoin is a deciduous Shrub growing to 3 m (9ft) by 3 m (9ft) at a slow rate. It is hardy to zone (UK) 5.  It is in flower in April, and the seeds ripen from August to September. The species is dioecious (individual flowers are either male or female, but only one sex is to be found on any one plant so both male and female plants must be grown if seed is required). . The plant is not self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid and neutral soils and  can grow in very acid soils. It can grow in  semi-shade (light woodland). It prefers  moist soil.","Landscape Uses:Border, Pest tolerant, Massing, Woodland garden. Requires a lime-free rather moist soil[200] with a pH in the range 4.5 - 6[238]. Prefers partial shade or dappled sunlight in a fertile moisture-retentive soil enriched with leafmould[200]. Succeeds in full sun or semi-shade[184]. Plants are hardy to about -25°c[184]. The leaves, bark and berries are very aromatic[182, 213]. Plants can be pruned right back to the base if required, though any drastic pruning is best spread over several seasons[200]. Plants in this genus are notably resistant to honey fungus[200]. The fruit has a high fat content and is much eaten by migratory birds to supply their high energy demands when migrating[274]. Dioecious, male and female plants must be grown if seed is required[188, 238].  Special Features:Attracts birds, North American native, Fragrant foliage, Wetlands plant, Attracts butterflies, Attractive flowers or blooms. The plant is heat tolerant in zones 8 through 1. (Plant Hardiness Zones show how well plants withstand cold winter temperatures. 
Plant Heat Zones show when plants would start suffering from the heat.  
The Plant Heat Zone map is based on the number of ""heat days"" experienced in a given area where the temperature climbs to over 86 degrees F (30°C). 
At this temperature, many plants begin to suffer physiological damage. Heat Zones range from 1 (no heat days) to 12 (210 or more heat days). 
For example Heat Zone. 11-1 indicates that the plant is heat tolerant in zones 11 through 1.)  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is multistemmed with multiple stems from the crown [1-2]. The root pattern is a heart root, dividing from the crown into several primary roots going down and out [1-2].","Seed - best sown as soon as it is ripe in the autumn in a greenhouse. The seed has a short viability and should not be allowed to dry out[200]. Prick out the seedlings into individual pots when they are large enough to handle and grow them on in the greenhouse for their first winter. Plant them out into their permanent positions in early summer. Cuttings of half-ripe wood, July in a frame[200]. Cuttings of mature side-shoots, 10 - 12cm with a heel, September/October in a cold frame. They may root by spring. Fair to good percentage[78]. Layering.",Lindera_benzoin.jpg,https://commons.wikimedia.org/w/index.php?curid=39789091
32,Viola,,Violaceae,"Wet places on river banks and flood plains in E. Siberia[74]. Mixed forests, forest margins, grasslands on mountain slopes, moist places in stream valleys in China[266].","E. Asia - China, Japan, Siberia.","Viola is a PERENNIAL growing to 0.3 m (1ft).  It is in flower from May to June, and the seeds ripen from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid and neutral soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","We have very little information on this species and do not know if it will be hardy in Britain, though judging by its native range it should succeed outdoors in most parts of the country. The following notes are based on the general needs of the genus. Prefers a cool moist well-drained humus-rich soil in partial or dappled shade and protection from scorching winds. Tolerates sandstone and limestone soils but becomes chlorotic if the pH is too high. Prefers a pH between 6 and 6.5[200]. All members of this genus have more or less edible leaves and flower buds, though those species with yellow flowers can cause diarrhoea if eaten in large quantities[62, 85, 159].","Seed - best sown in the autumn in a cold frame. Sow stored seed in early spring in a cold frame. Prick out the seedlings into individual pots when they are large enough to handle and plant them out in the summer. Division in the autumn or just after flowering. Larger divisions can be planted out direct into their permanent positions, though we have found that it is best to pot up smaller divisions and grow them on in light shade in a greenhouse or cold frame until they are growing away well. Plant them out in the summer or the following spring.",Viola.jpg,https://commons.wikimedia.org/w/index.php?curid=3882183
33,Phlox,Wild blue phlox,Polemoniaceae,"Indigenous to rich deciduous woodlands, open moist to slightly dry woods, seasonal floodplains, stream banks and open areas near woodland paths.","Eastern North America in Quebec and Ontario, south to Vermont and Florida and west to South Dakota and New Mexico.",Phlox is an evergreen Perennial growing to 0.5 m (1ft 8in) by 1 m (3ft 3in) at a medium rate.  It is hardy to zone (UK) 5. It is noted for attracting wildlife.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: acid and neutral soils. It can grow in full shade (deep woodland) semi-shade (light woodland) or no shade. It prefers  moist soil and can tolerate drought.,"Herbaceous perennial ephemeral wildflower with showy fragrant flowers. USDA Hardiness Zones: 4 - 9. Soil pH: 5.5 - 7.1. Growth Rate: Moderate. Life Span: Long-Lived Perennial. Stand Persistence: Medium. Form: Upright. Texture: Fine. Sun: bright shade, partial shade, shade. Soil Type: Loamy, Silty. Soil Moisture: Moderate. Minimum Root Depth: 14 inches (0.3m). Root Type: Fibrous Deep. Seasonal Interest: Spring. Flower Color: Blue, Pink, Purple, White. Flood: Sensitive. Salt: Intolerant. Soil Compaction: Moderate. Mowing: Intolerant. Fire Damage: Intolerant. Cold Injury: Infrequent. Disease Issues: Minor. Insect/Pest Damage: Minor. Bloom Time: Spring - Early Summer. Plants tolerate clay loam, sand, acid or alkaline pH, heat, drought, part sun and dry shade.  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a clumper with limited spread [1-2]. Evergreen. The root pattern is fibrous dividing into a large number of fine roots [1-2]. Royal Horticultural Society Award of Garden Merit",Propagate by division in fall or spring. Propagate by basal cuttings in spring or propagate by root cuttings in early fall or winter.,Phlox.jpg,https://commons.wikimedia.org/w/index.php?curid=4702691
34,Aristolochia macrophylla,"Pipevine, Dutchman's Pipe",Aristolochiaceae,"Moist, rich woodlands[200, 235]. Forests, often on dissected uplands and rugged, rocky slopes; Cumberland and Blue Ridge mountains at elevations of 50 - 1300 metres[270].","Eastern N. America - Pennsylvania to Minnesota, Georgia, Tennessee and Kansas.","Aristolochia macrophylla is a CLIMBER growing to 7 m (23ft) at a fast rate. It is hardy to zone (UK) 6.  It is in flower from June to August, and the seeds ripen from September to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Flies.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils and can grow in very alkaline soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil.","Landscape Uses:Arbor, Screen. Prefers a well-drained loamy soil, rich in organic matter, in sun or semi-shade[1, 200], but succeeds in ordinary garden soil[134]. Plants are hardy to at least -10°c[200]. A fast-growing climbing plant, attaching itself by means of twining around other plants, it has been recommended for covering pergolas[200]. Most species in this genus have malodorous flowers that are pollinated by flies[200].  Special Features:Attracts birds, Attractive foliage, North American native, All or parts of this plant are poisonous, Attracts butterflies, Attractive flowers or blooms.","Seed - best sown in a greenhouse as soon as it is ripe in the autumn. Pre-soak stored seed for 48 hours in hand-hot water and surface sow in a greenhouse[134]. Germination usually takes place within 1 - 3 months at 20°c[134]. Stored seed germinates better if it is given 3 months cold stratification at 5°c[200]. When large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for their first winter. Plant out in late spring or early summer after the last expected frosts. Division in autumn[200]. Root cuttings in winter[200].",Aristolochia_macrophylla.jpg,https://commons.wikimedia.org/w/index.php?curid=19479702
35,Ligustrum,,Oleaceae,"Thickets and streamsides, 1000 - 2600 metres in W. China[109]. Thickets or woods on slopes at elevations of 500 - 3700 metres[266].",E. Asia - W. China.,"Ligustrum is an evergreen Shrub growing to 3 m (9ft 10in).  It is hardy to zone (UK) 7. It is in leaf all year, in flower in June, and the seeds ripen from August to December. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in full shade (deep woodland) semi-shade (light woodland) or no shade. It prefers  moist soil.","A very tolerant and easily grown plant, it succeeds in any soil that is not impoverished or water-logged[11, 182]. Grows well in heavy clay soils. Succeeds in full sun, dappled woodland shade or the full shade of a wall[182]. Plants are not fully hardy outside the milder areas of Britain[11]. This species is notably susceptible to honey fungus[200].","The seed does not require any pre-treatment and can be sown in the spring in a cold frame[113]. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings of half-ripe wood, 5 - 10cm with a heel, July/August in a frame. Very easy[78]. Cuttings of mature wood, 20 - 30cm in a sheltered outdoor bed in November/December. High percentage[78].",Ligustrum.jpg,https://commons.wikimedia.org/w/index.php?curid=4977922
36,Echinacea,"Echinacea, Blacksamson echinacea, Strigose blacksamson",Asteraceae or Compositae,"Gravelly, sandy, and rocky dry limestone prairies and barrens[43, 274].","N. America - Manitoba, Saskatchewan and North Dakota south to Texas.","Echinacea is a PERENNIAL growing to 1.2 m (4ft) by 0.5 m (1ft 8in).  It is hardy to zone (UK) 3 and is not frost tender.  It is in flower from July to August. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil.","Prefers a deep rich loam with plenty of leafmold[1] and a sunny position[175]. Closely related to E. pallida and included in that species by some botanists[274]. Slugs love this plant[K]. USDA Hardiness Zone: Zone 3-8. AHS Heat Zone: 9-1 In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is fleshy. Thick or swollen - fibrous or tap root [2-1].","Seed - sow March/April in a greenhouse and only just cover the seed[175, K]. Diurnal temperature fluctuations aid germination[175]. The seed usually germinates in 10 - 21 days at 25°c[175]. Prick out the seedlings into individual pots once they are large enough to handle and grow them on in the greenhouse for the first summer. Plant them out in the late spring or early summer of the following year and give them some protection from slugs at least until they are established[K]. Division in spring or autumn[111]. Larger clumps can be replanted direct into their permanent positions, though it is best to pot up smaller clumps and grow them on in a cold frame until they are rooting well. Plant them out in the spring. Root cuttings, October in a frame[200].",Echinacea.jpg,https://commons.wikimedia.org/w/index.php?curid=1387821
37,Arabis,"Thale Cress, Mouseear cress",Brassicaceae or Cruciferae,"Walls and banks, hedgerows and waste places, and on dry soils[17].","Most of Europe, including Britain, south and east to N. Africa and temperate Asia to Japan.","Arabis is a ANNUAL/BIENNIAL growing to 0.5 m (1ft 8in).  It is in flower from April to May. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil.","We have no specific information on the cultivation needs of this species. It will probably grow best in a reasonably sunny position, tolerating dry and poor soils. Please see the plants native habitat for further ideas on its cultivation needs[K].",Seed - sow spring in situ.,Arabis.jpg,https://commons.wikimedia.org/w/index.php?curid=26249416
38,Salvia,"White Sage, Compact white sage",Lamiaceae or Labiatae,Dry benches and slopes below 1500 metres[71].,South-western N. America - California.,"Salvia is a PERENNIAL growing to 3 m (9ft 10in).  It is hardy to zone (UK) 8.  It is in flower from April to July. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. It is noted for attracting wildlife.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil.","Requires a very well-drained light sandy soil in a sunny position[200]. Prefers a rich soil[1]. Plants grow best in a dry climate and can be killed by excessive winter wet[200, 260]. This species is not hardy in the colder areas of the country, it tolerates temperatures down to between -5 and -10°c[200]. The seed is sold in health food shops for its use in making a drink[183]. A good bee plant[61]. Members of this genus are rarely if ever troubled by browsing deer[233].","Seed - sow March/April in a greenhouse[200]. Germination usually takes place within 2 weeks. Prick out the seedlings into individual pots when they are large enough to handle and plant them out in early summer. In areas where the plant is towards the limits of its hardiness, it is best to grow the plants on in a greenhouse for their first winter and plant them out in late spring of the following year. Cuttings of half-ripe wood succeed at almost any time in the growing season[200].",Salvia.jpg,https://commons.wikimedia.org/w/index.php?curid=6775047
39,Eryngium,"Button Snakeroot, Rattlesnakemaster",Apiaceae or Umbelliferae,Wet soils or uplands[235].,Eastern N. America - New Jersey to Florida.,"Eryngium is an evergreen Perennial growing to 1.2 m (4ft).  It is hardy to zone (UK) 6. It is in leaf all year, in flower from July to August. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, flies, beetles. The plant is self-fertile.  Suitable for: light (sandy) and medium (loamy) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil. The plant can tolerate maritime exposure.",Requires a well-drained soil and a sunny position[1]. Prefers a light sandy soil but tolerates most soil types including lime and poor gravels[200]. Plants should be put in their final position whilst small since they resent root disturbance[200]. Plants labelled in nurseries as E. aquaticum are often E. yuccifolium[200].,"Seed - best sown as soon as it is ripe in early autumn on the surface of a well-drained compost in a cold frame[200]. The seed can also be sown in spring. It usually germinates in 5 - 90 days at 20°c. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Division in early spring or autumn. Take care since the plant resents root disturbance[200]. Root cuttings in autumn or winter[200].",Eryngium.jpg,https://commons.wikimedia.org/w/index.php?curid=2485137
40,Senna marilandica,"Wild Senna, Maryland senna",Fabaceae or Leguminosae,"Thickets and dry roadsides[43]. Disturbed areas, sandy fields and open woods in Texas[274].","South-eastern N. America - Pennsylvania to Florida, Kansas and Iowa.","Senna marilandica is a deciduous Shrub growing to 1.5 m (5ft) by 0.8 m (2ft 7in).  It is hardy to zone (UK) 4.  It is in flower from July to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil and can tolerate drought.","Succeeds in most well-drained soils but prefers an open sandy loam in a sunny sheltered position[1, 11, 200]. Established plants are drought tolerant[200]. Succeeds in light shade, but the plant is much less vigorous when grown in dry shade[200]. Although fairly cold-tolerant, plants can be killed in very severe weather, so it is best to mulch the roots of mature plants in bad winters[11]. Younger plants should be mulched each winter until they are well established[200]. Slugs are very attracted to this plant[K]. This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby[200].","Seed - scarify and then pre-soak the seed for 2 - 3 hours in warm water before sowing it from early spring to early summer in a warm greenhouse[138]. The seed usually germinates in 1 - 12 weeks at 23°c[138]. Prick out the seedlings into individual pots once they are large enough to handle and grow them on in the greenhouse. Do not plant them out until the following spring[138]. Division as growth commences in spring[11]. Cuttings of moderately ripe wood, July in a frame[1].",Senna_marilandica.jpg,https://commons.wikimedia.org/w/index.php?curid=84067719
41,Chrysanthemum,,Asteraceae or Compositae,"Dry cliffs, occasionally on high mountains, in the south and south-western regions of Tenerife[260].",N. Africa - Canary Islands.,"Chrysanthemum is a PERENNIAL growing to 1 m (3ft 3in).  It is hardy to zone (UK) 9.  It is in flower from January to April. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought.","Succeeds in full sun in any well-drained fertile soil[1, 200]. Plants are drought tolerant[260]. This species is not very hardy in Britain, tolerating temperatures down to about -3°c[260]. It succeeds outdoors as a perennial only in essentially frost-free climates[200]. It can, however, be grown as an annual in this country, flowering and setting seed in its first year[200].","Seed - sow spring in a greenhouse and only just cover the seed. If the seed does not germinate within 4 weeks then chill it for 3 weeks at 2°c and return it to the greenhouse[164]. When large enough to handle, prick the seedlings out into individual pots and plant them out in late spring or early summer, after the last expected frosts.",Chrysanthemum.jpg,https://commons.wikimedia.org/w/index.php?curid=3050205
42,Antirrhinum,"Snapdragon,  Garden snapdragon",Scrophulariaceae,"Old walls, rocks and dry places[17, 100].",Europe. Naturalized in Britain[17].,"Antirrhinum is a PERENNIAL growing to 1 m (3ft 3in) by 0.2 m (0ft 8in) at a medium rate.  It is hardy to zone (UK) 6 and is not frost tender.  It is in flower from July to September, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. The plant is self-fertile.  Suitable for: light (sandy) and medium (loamy) soils, prefers  well-drained soil and can grow in heavy clay and nutritionally poor soils. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil.","Landscape Uses:Border, Container, Foundation, Massing, Specimen, Woodland garden. Prefers a light well drained loam and a sunny position[1, 200]. Plants are tolerant of clay and lime soils, and also grow well on old walls[200]. Plants are often grown as an annual since they usually degenerate in their second year[1]. They often self sow when well-sited[K]. There are many named forms, selected for their ornamental value[200].  Special Features:Not North American native, Naturalizing, Attracts butterflies, Suitable for cut flowers, Suitable for dried flowers, Fragrant flowers.","Seed - surface sow March in a greenhouse. The seed usually germinates in 10 - 21 days at 18°c[134]. Cool nights assist germination[134]. When large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. The seed can also be sown in situ in July/August and will produce larger and more floriferous plants the following summer. Cuttings of half-ripe wood in September in a cold frame[200].",Antirrhinum.jpg,https://commons.wikimedia.org/w/index.php?curid=88915879
43,Sedum,"Queen's Crown, Redpod stonecrop",Crassulaceae,Moist places in tundra or in meadows and by streams in the Rocky Mountains to 2700 metres[83].,Western N. America - Arizona to Montana.,"Sedum is a PERENNIAL growing to 0.4 m (1ft 4in).  It is hardy to zone (UK) 4.  It is in flower from July to August, and the seeds ripen from August to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought.","Prefers a fertile well-drained soil in a sunny position[200]. Established plants are drought tolerant[200]. A good plant for the flower border[83]. This species has pink to white flowers[200]. All members of this genus are said to have edible leaves, though those species that have yellow flowers can cause stomach upsets if they are eaten in quantity[62, 85].","Seed - surface sow in spring in well-drained soil in a sunny position in a greenhouse. Do not allow the soil to dry out. Prick out the seedlings into individual pots when they are large enough to handle, and grow them on in the greenhouse for their first winter. Plant out in early summer of the following year. Division in spring or early summer. Very easy, larger divisions can be planted out direct into their permanent positions. We have found that it is better to pot up the smaller divisions and grow them on in light shade in a cold frame until they are well established before planting them out in late spring or early summer.",Sedum.jpg,https://commons.wikimedia.org/w/index.php?curid=1895039
